date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:12:59	517/517	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Nov%202020%2000:12:59%20GMT	https://crasty.cf/robots.txt		(from )
18:12:59	29017/29017	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:12:59%20GMT	https://crasty.cf/	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/index.html	(from )
18:13:01	29017/29017	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:13:00%20GMT	https://crasty.cf/?	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/indexd41d.html	(from https://crasty.cf/)
18:13:01	67744/67744	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:13:00%20GMT	https://crasty.cf/?a	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/index0cc1.html	(from https://crasty.cf/)
18:13:02	49331/49331	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:13:00%20GMT	https://crasty.cf/?aaaaaa	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/index0b4e.html	(from https://crasty.cf/)
18:13:03	28575/28575	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:13:01%20GMT	https://crasty.cf/?aaa	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/index47bc.html	(from https://crasty.cf/)
18:13:04	169532/169532	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:13:01%20GMT	https://crasty.cf/?aa	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/index4124.html	(from https://crasty.cf/)
18:13:04	67434/67434	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:13:01%20GMT	https://crasty.cf/?aaaa	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/index74b8.html	(from https://crasty.cf/)
18:13:05	14767/14767	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:13:03%20GMT	https://crasty.cf/assets/privacy.html	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/assets/privacy.html	(from https://crasty.cf/)
18:13:06	3278/3278	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:13:04%20GMT	https://crasty.cf/assets/tos.html	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/assets/tos.html	(from https://crasty.cf/)
18:13:07	32923/32923	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:13:05%20GMT	https://crasty.cf/?aaaaaaa	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/index5d79.html	(from https://crasty.cf/)
18:13:08	7586/7586	U-----	200	untouched ('')	application/javascript	etag:%225fb468c6-d4f%22	https://arc.io/widget.js	C:/Users/natha/Documents/SysYa/SysYa/arc.io/widget.js	(from https://crasty.cf/)
18:13:09	12608/12608	U-----	200	untouched ('OK')	text/css	etag:W/%225fad704b-3140%22	https://crasty.cf/assets/src/page.css?timestamp=1605201995	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/assets/src/pagea57a.css	(from https://crasty.cf/)
18:13:09	198/198	U-----	200	untouched ('')	image/x-icon	etag:W/%225e6006a9-c6%22	https://crasty.cf/assets/src/inv.ico	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/assets/src/inv.ico	(from https://crasty.cf/)
18:13:10	1035/1035	U-----	200	untouched ('OK')	text/css	etag:W/%225fad669e-40b%22	https://crasty.cf/assets/src/home.css?timestamp=1605199518	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/assets/src/homecfa8.css	(from https://crasty.cf/)
18:13:10	33004/33004	U-----	200	untouched ('')	application/javascript	etag:W/%225f93b949-80ec%22	https://crasty.cf/assets/js/home.js?1603516745	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/assets/js/home543f.js	(from https://crasty.cf/)
18:13:10	2741/2741	U-----	200	untouched ('')	application/javascript	etag:W/%225faf1cf7-ab5%22	https://crasty.cf/assets/js/page.js?timestamp=1605311735	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/assets/js/page6ca9.js	(from https://crasty.cf/)
18:13:10	1203/1203	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Nov%202020%2000:13:10%20GMT	https://crasty.cf/assets/src/sponsor/nc1.webp	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/assets/src/sponsor/nc1.webp	(from https://crasty.cf/assets/src/page.css?timestamp=1605201995)
18:15:02	15736/15736	U-----	200	untouched ('')	application/octet-stream	etag:%225f399991-3d78%22	https://crasty.cf/assets/fonts/roboto_latin.woff2	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/assets/fonts/roboto_latin.woff2	(from https://crasty.cf/assets/src/page.css?timestamp=1605201995)
18:15:02	81916/81916	U-----	200	untouched ('')	application/octet-stream	etag:%225f3573cd-13ffc%22	https://crasty.cf/assets/fonts/materialicons.woff2	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/assets/fonts/materialicons.woff2	(from https://crasty.cf/assets/src/page.css?timestamp=1605201995)
18:15:03	12200/12200	U-----	200	untouched ('')	application/octet-stream	etag:%225f3999b0-2fa8%22	https://crasty.cf/assets/fonts/roboto_latin_ext.woff2	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/assets/fonts/roboto_latin_ext.woff2	(from https://crasty.cf/assets/src/page.css?timestamp=1605201995)
18:15:09	77784/77784	U-----	200	untouched ('')	application/font-woff	etag:W/%225f186b8a-12fd8%22	https://crasty.cf/assets/fonts/whitney_500.woff	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/assets/fonts/whitney_500.woff	(from https://crasty.cf/assets/src/page.css?timestamp=1605201995)
18:15:10	17488/17488	U-----	200	untouched ('')	application/octet-stream	etag:%225ec191de-4450%22	https://crasty.cf/assets/fonts/michroma.woff2	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/assets/fonts/michroma.woff2	(from https://crasty.cf/assets/src/page.css?timestamp=1605201995)
18:15:10	21500/21500	U-----	200	untouched ('')	application/font-woff	etag:W/%225ec191de-53fc%22	https://crasty.cf/assets/fonts/michroma.woff	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/assets/fonts/michroma.woff	(from https://crasty.cf/assets/src/page.css?timestamp=1605201995)
18:15:10	80000/80000	U-----	200	untouched ('')	application/font-woff	etag:W/%225f186b92-13880%22	https://crasty.cf/assets/fonts/whitney_bold.woff	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/assets/fonts/whitney_bold.woff	(from https://crasty.cf/assets/src/page.css?timestamp=1605201995)
18:15:10	76744/76744	U-----	200	untouched ('')	application/font-woff	etag:W/%225f186b8d-12bc8%22	https://crasty.cf/assets/fonts/whitney_600.woff	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/assets/fonts/whitney_600.woff	(from https://crasty.cf/assets/src/page.css?timestamp=1605201995)
18:15:10	1203/1203	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Nov%202020%2000:15:10%20GMT	https://crasty.cf/UEQ=	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/UEQ=.1b.delayed	(from https://crasty.cf/?a)
18:15:11	1203/1203	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Nov%202020%2000:15:11%20GMT	https://crasty.cf/UE0=	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/UE0=	(from https://crasty.cf/?a)
18:15:11	36100/36100	U-----	200	untouched ('')	application/octet-stream	etag:%225ec191de-8d04%22	https://crasty.cf/assets/fonts/michroma.ttf	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/assets/fonts/michroma.ttf	(from https://crasty.cf/assets/src/page.css?timestamp=1605201995)
18:15:11	41908/41908	U-----	200	untouched ('')	application/vnd.ms-fontobject	etag:W/%225ec191de-a3b4%22	https://crasty.cf/assets/fonts/michroma.eot	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/assets/fonts/michroma.eot	(from https://crasty.cf/assets/src/page.css?timestamp=1605201995)
18:15:12	82912/82912	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%225ec191de-143e0%22	https://crasty.cf/assets/fonts/michroma.svg	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/assets/fonts/michroma.svg	(from https://crasty.cf/assets/src/page.css?timestamp=1605201995)
18:15:12	1203/1203	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Nov%202020%2000:15:12%20GMT	https://crasty.cf/UFA=	C:/Users/natha/Documents/SysYa/SysYa/crasty.cf/UFA=	(from https://crasty.cf/?a)
